datetime,open,high,low,close
2025-08-27 13:00:00,3373.91,3382.75,3373.51,3373.52
2025-08-27 14:00:00,3373.52,3377.5,3365,3365.84
2025-08-27 15:00:00,3365.84,3369.72,3365.83,3368.81
2025-08-27 16:00:00,3369.19,3372.21,3368.19,3368.33
2025-08-27 17:00:00,3368.33,3371.83,3366.61,3371.83
2025-08-27 18:00:00,3371.83,3375.66,3371.83,3373.81
2025-08-27 19:00:00,3373.82,3374.9,3369.11,3369.77
2025-08-27 20:00:00,3369.76,3369.97,3367.47,3367.57
2025-08-27 21:00:00,3367.57,3370.22,3367.15,3369.79
2025-08-27 22:00:00,3369.79,3372,3367.92,3370.89
2025-08-27 23:00:00,3371.34,3372.62,3366.67,3367.95
2025-08-28 00:00:00,3367.95,3374.71,3366.93,3374.57
2025-08-28 01:00:00,3374.57,3378.23,3374.57,3376.84
2025-08-28 02:00:00,3377.07,3384.92,3376.92,3382.58
2025-08-28 03:00:00,3382.44,3384.68,3382.24,3384.56
2025-08-28 04:00:00,3384.57,3385.75,3381.9,3384.8
2025-08-28 05:00:00,3384.8,3388.12,3384.79,3387.58
2025-08-28 06:00:00,3387.58,3388.82,3385.91,3388.82
2025-08-28 07:00:00,3388.81,3390,3384.83,3384.83
2025-08-28 08:00:00,3384.84,3388.6,3384.84,3386.98
2025-08-28 09:00:00,3386.97,3390.77,3385.94,3387.82
2025-08-28 10:00:00,3387.82,3390,3384.65,3384.65
2025-08-28 11:00:00,3384.65,3389.97,3380.93,3381.59
2025-08-28 12:00:00,3381.6,3385.31,3380.34,3385.31
2025-08-28 13:00:00,3385.31,3385.79,3383.04,3383.67
2025-08-28 14:00:00,3383.67,3383.68,3378,3381.7
2025-08-28 15:00:00,3381.71,3383.09,3380.64,3382.67
2025-08-28 16:00:00,3382.67,3388.98,3382.32,3388.06
2025-08-28 17:00:00,3388.05,3390.83,3387.18,3390.62
2025-08-28 18:00:00,3390.62,3397.51,3388.6,3396.35
2025-08-28 19:00:00,3396.35,3397.82,3395.45,3395.77
2025-08-28 20:00:00,3395.74,3396.48,3390.96,3392.31
2025-08-28 21:00:00,3392.32,3399.76,3392.32,3397.87
2025-08-28 22:00:00,3397.88,3402.32,3393.01,3394.31
2025-08-28 23:00:00,3394.09,3403.3,3392.2,3402.07
2025-08-29 00:00:00,3402.06,3408.85,3400.58,3407.04
2025-08-29 01:00:00,3407.04,3408.37,3403,3406.99
2025-08-29 02:00:00,3407,3415.37,3406.56,3413.76
2025-08-29 03:00:00,3413.75,3423.25,3413.13,3419.02
2025-08-29 04:00:00,3419.03,3423.11,3417.83,3423.1
2025-08-29 05:00:00,3423.1,3423.11,3419.08,3421.23
2025-08-29 06:00:00,3421.22,3421.23,3416.26,3419.78
2025-08-29 07:00:00,3419.77,3420.61,3419.77,3420.58
